date,journey_id,device,marketing_channel,sessions,journey_starts,journey_completions,lead_submits,self_service_successes,revenue_proxy,calls_deflected,bounce_rate,measurement_quality,identity_match_rate,beacon_loss_rate
2026-01-01,JRN004,mobile_web,paid_search,254,218,91,8,91,3458,24,0.1974,83.43,0.8657,0.0195
2026-01-01,JRN004,mobile_web,email,190,163,65,6,65,2470,28,0.2287,84.06,0.8816,0.0091
2026-01-01,JRN004,mobile_web,direct,280,240,83,8,83,3154,25,0.1793,87.38,0.9238,0.0081
2026-01-01,JRN004,mobile_app,organic_search,664,571,345,36,345,13110,123,0.1674,84.3,0.889,0.0052
2026-01-01,JRN004,mobile_app,paid_search,512,440,183,20,183,6954,39,0.1498,83.01,0.8924,0.0177
2026-01-01,JRN004,mobile_app,email,396,340,210,20,210,7980,72,0.1125,88.66,0.8842,0.0059
2026-01-01,JRN004,mobile_app,direct,511,439,218,16,218,8284,89,0.183,86.72,0.911,0.0047
2026-01-01,JRN005,desktop,organic_search,399,343,115,4,115,2530,22,0.1561,69.91,0.8768,0.0214
2026-01-01,JRN005,desktop,paid_search,235,201,66,6,66,1452,19,0.1884,71.35,0.8704,0.0323
2026-01-01,JRN005,desktop,email,167,136,50,5,50,1100,19,0.1399,69.44,0.912,0.0239
2026-01-01,JRN005,desktop,direct,219,188,76,6,76,1672,15,0.1262,75.56,0.8727,0.0127
2026-01-01,JRN005,mobile_web,organic_search,352,287,79,9,79,1738,19,0.2552,74.84,0.9282,0.0176
2026-01-01,JRN005,mobile_web,paid_search,245,210,56,4,56,1232,11,0.2512,72.98,0.9074,0.0204
2026-01-01,JRN005,mobile_web,email,214,184,56,4,56,1232,15,0.2193,72.16,0.8783,0.0232
2026-01-01,JRN005,mobile_web,direct,303,260,82,3,82,1804,32,0.2463,72.53,0.9145,0.0171
2026-01-01,JRN005,mobile_app,organic_search,74,63,19,1,19,418,5,0.179,68.92,0.9217,0.0218
2026-01-01,JRN005,mobile_app,paid_search,49,40,10,1,10,220,2,0.1301,67.95,0.9082,0.0214
2026-01-01,JRN005,mobile_app,email,44,37,11,1,11,242,2,0.2159,72.9,0.9144,0.0128
2026-01-01,JRN005,mobile_app,direct,50,43,14,0,14,308,4,0.2162,74.44,0.8719,0.0148
2026-01-01,JRN006,desktop,organic_search,614,364,19,19,3,3458,0,0.1824,59.99,0.7648,0.0267
2026-01-01,JRN006,desktop,paid_search,417,218,15,15,1,2730,0,0.2588,58.82,0.7114,0.0456
2026-01-01,JRN006,desktop,email,303,176,16,16,3,2912,0,0.2214,57.09,0.7697,0.0285
2026-01-01,JRN006,desktop,direct,468,220,16,16,2,2912,0,0.2401,59.03,0.7445,0.0367
2026-01-01,JRN006,mobile_web,organic_search,654,333,18,18,2,3276,0,0.2822,61.89,0.7787,0.0133
2026-01-01,JRN006,mobile_web,paid_search,469,214,9,9,1,1638,0,0.2939,61.29,0.7546,0.0274
2026-01-01,JRN006,mobile_web,email,410,218,12,12,1,2184,0,0.3228,63.97,0.7567,0.0151
2026-01-01,JRN006,mobile_web,direct,407,186,8,8,0,1456,0,0.2759,57.96,0.8056,0.0135
2026-01-01,JRN006,mobile_app,organic_search,151,88,6,6,0,1092,0,0.1972,58.27,0.781,0.0389
2026-01-01,JRN006,mobile_app,paid_search,109,55,2,2,0,364,0,0.2367,54.23,0.7138,0.0526
2026-01-01,JRN006,mobile_app,email,69,38,3,3,0,546,0,0.2131,58.31,0.7487,0.0201
2026-01-01,JRN006,mobile_app,direct,109,59,5,5,0,910,0,0.2581,56.08,0.7313,0.0394
2026-01-01,JRN007,desktop,organic_search,249,124,4,4,0,1840,0,0.2537,48.65,0.8547,0.0406
2026-01-01,JRN007,desktop,paid_search,206,106,5,5,0,2300,0,0.2278,48,0.8647,0.0623
2026-01-01,JRN007,desktop,email,150,81,4,4,0,1840,0,0.2238,52.32,0.867,0.0278
2026-01-01,JRN007,desktop,direct,187,90,4,4,0,1840,0,0.2454,55.0,0.8924,0.0151
2026-01-01,JRN007,mobile_web,organic_search,289,156,5,5,0,2300,0,0.3328,49.06,0.8779,0.021
2026-01-01,JRN007,mobile_web,paid_search,233,116,5,5,0,2300,0,0.3485,50.39,0.8616,0.0352
2026-01-01,JRN007,mobile_web,email,146,69,3,3,0,1380,0,0.358,50.85,0.9065,0.0173
2026-01-01,JRN007,mobile_web,direct,221,105,5,5,0,2300,0,0.3134,50.8,0.8535,0.0477
2026-01-01,JRN007,mobile_app,organic_search,63,29,1,1,0,460,0,0.1872,49.17,0.8469,0.0465
2026-01-01,JRN007,mobile_app,paid_search,35,19,0,0,0,0,0,0.2169,48,0.8698,0.0444
2026-01-01,JRN007,mobile_app,email,29,16,0,0,0,0,0,0.1862,55.09,0.8993,0.022
2026-01-01,JRN007,mobile_app,direct,39,21,1,1,0,460,0,0.2465,49.93,0.8475,0.0382
2026-01-01,JRN008,desktop,organic_search,554,321,27,27,3,6588,0,0.2349,57.89,0.8554,0.0248
2026-01-01,JRN008,desktop,paid_search,355,221,19,19,3,4636,1,0.1989,55.84,0.8558,0.0527
2026-01-01,JRN008,desktop,email,275,172,19,19,2,4636,0,0.2579,56.27,0.9362,0.0136
2026-01-01,JRN008,desktop,direct,409,193,14,14,2,3416,0,0.2165,56.89,0.9177,0.0221
2026-01-01,JRN008,mobile_web,organic_search,639,403,35,35,3,8540,0,0.3507,54.82,0.8432,0.0395
2026-01-01,JRN008,mobile_web,paid_search,375,198,12,12,1,2928,0,0.2594,52.3,0.8856,0.0482
2026-01-01,JRN008,mobile_web,email,346,205,17,17,2,4148,0,0.2849,56.18,0.8898,0.0225
2026-01-01,JRN008,mobile_web,direct,356,212,15,15,1,3660,0,0.3393,56.79,0.9234,0.0235
2026-01-01,JRN008,mobile_app,organic_search,107,60,6,6,0,1464,0,0.2211,58.61,0.8758,0.0132
2026-01-01,JRN008,mobile_app,paid_search,76,42,4,4,0,976,0,0.1748,57.92,0.8678,0.0411
2026-01-01,JRN008,mobile_app,email,70,37,5,5,0,1220,0,0.2214,58.34,0.8416,0.0393
2026-01-01,JRN008,mobile_app,direct,78,43,3,3,0,732,0,0.1852,54.4,0.8972,0.0301
2026-01-01,JRN009,desktop,organic_search,331,216,29,2,29,2494,11,0.1897,73.45,0.9183,0.0126
2026-01-01,JRN009,desktop,paid_search,244,138,20,1,20,1720,4,0.2331,69.53,0.8469,0.0352
2026-01-01,JRN009,desktop,email,169,112,21,2,21,1806,6,0.1917,74.55,0.9344,0.0132
2026-01-01,JRN009,desktop,direct,221,151,24,1,24,2064,5,0.2243,72.81,0.9134,0.0091
2026-01-01,JRN009,mobile_web,organic_search,344,187,22,1,22,1892,8,0.2429,75.13,0.8783,0.0109
2026-01-01,JRN009,mobile_web,paid_search,232,150,18,1,18,1548,4,0.2668,74.52,0.917,0.0308
2026-01-01,JRN009,mobile_web,email,160,91,11,0,11,946,4,0.2962,73.89,0.911,0.0079
2026-01-01,JRN009,mobile_web,direct,267,178,26,2,26,2236,5,0.2774,76.34,0.8618,0.0218
2026-01-01,JRN009,mobile_app,organic_search,74,50,6,0,6,516,1,0.1909,70.16,0.9076,0.0191
2026-01-01,JRN009,mobile_app,paid_search,46,29,4,0,4,344,1,0.1807,69.98,0.882,0.0276
2026-01-01,JRN009,mobile_app,email,34,18,3,0,3,258,0,0.2351,71.71,0.9082,0.0131
2026-01-01,JRN009,mobile_app,direct,53,32,5,0,5,430,1,0.183,72.06,0.9005,0.0075
2026-01-01,JRN010,desktop,organic_search,797,640,134,15,134,2412,26,0.1412,68.76,0.7431,0.0168
2026-01-01,JRN010,desktop,paid_search,583,422,94,8,94,1692,31,0.1348,66.7,0.7665,0.0368
2026-01-01,JRN010,desktop,email,407,288,69,6,69,1242,19,0.1585,61.27,0.7651,0.0345
2026-01-01,JRN010,desktop,direct,582,419,100,4,100,1800,32,0.1394,61.41,0.7634,0.0312
2026-01-01,JRN010,mobile_web,organic_search,820,678,105,4,105,1890,32,0.3218,66.02,0.7419,0.0122
2026-01-01,JRN010,mobile_web,paid_search,515,429,90,7,90,1620,34,0.3079,62.19,0.7586,0.0234
2026-01-01,JRN010,mobile_web,email,386,269,55,6,55,990,18,0.2885,61.6,0.7714,0.0303
2026-01-01,JRN010,mobile_web,direct,621,433,95,9,95,1710,37,0.2936,63.17,0.7378,0.0177
2026-01-01,JRN010,mobile_app,organic_search,156,109,28,2,28,504,8,0.2214,64.31,0.7532,0.0112
2026-01-01,JRN010,mobile_app,paid_search,112,90,17,1,17,306,4,0.216,63.61,0.7138,0.046
2026-01-01,JRN010,mobile_app,email,73,57,18,0,18,324,4,0.135,61.41,0.7887,0.0279
2026-01-01,JRN010,mobile_app,direct,126,89,25,2,25,450,7,0.2241,65.63,0.7353,0.0187
2026-01-01,JRN011,desktop,organic_search,230,95,4,4,0,1240,0,0.2469,48,0.7447,0.0447
2026-01-01,JRN011,desktop,paid_search,175,94,4,4,0,1240,0,0.2101,48,0.7551,0.0506
2026-01-01,JRN011,desktop,email,120,51,1,1,0,310,0,0.1833,48,0.7328,0.0181
2026-01-01,JRN011,desktop,direct,170,70,2,2,0,620,0,0.2159,49.17,0.7891,0.0235
2026-01-01,JRN011,mobile_web,organic_search,248,123,4,4,0,1240,0,0.2751,48,0.7103,0.0408
2026-01-01,JRN011,mobile_web,paid_search,147,77,2,2,0,620,0,0.3211,48,0.758,0.0347
2026-01-01,JRN011,mobile_web,email,147,70,2,2,0,620,0,0.3564,48,0.7361,0.0341
2026-01-01,JRN011,mobile_web,direct,165,70,3,3,0,930,0,0.3475,48.79,0.7675,0.0255
2026-01-01,JRN011,mobile_app,organic_search,49,21,1,1,0,310,0,0.2339,48,0.7532,0.0542
2026-01-01,JRN011,mobile_app,paid_search,29,12,0,0,0,0,0,0.2279,48,0.7259,0.0453
2026-01-01,JRN011,mobile_app,email,28,14,0,0,0,0,0,0.1736,48,0.8001,0.0194
2026-01-01,JRN011,mobile_app,direct,38,18,0,0,0,0,0,0.2613,48.54,0.7359,0.0181
2026-01-01,JRN012,desktop,organic_search,312,134,7,0,7,448,1,0.1747,52.73,0.8494,0.0424
2026-01-01,JRN012,desktop,paid_search,186,89,5,0,5,320,1,0.2575,52.68,0.8661,0.0322
2026-01-01,JRN012,desktop,email,146,74,6,0,6,384,2,0.2505,50.79,0.8685,0.0341
2026-01-01,JRN012,desktop,direct,228,109,6,0,6,384,1,0.2584,51.92,0.8722,0.023
2026-01-01,JRN012,mobile_web,organic_search,351,197,10,0,10,640,3,0.3247,56.37,0.8488,0.0438
2026-01-01,JRN012,mobile_web,paid_search,238,139,5,0,5,320,1,0.2688,51.06,0.9129,0.0355
2026-01-01,JRN012,mobile_web,email,165,71,4,0,4,256,1,0.3215,56.77,0.8991,0.0262
2026-01-01,JRN012,mobile_web,direct,196,90,5,0,5,320,0,0.2671,51.78,0.8675,0.0425
2026-01-01,JRN012,mobile_app,organic_search,55,30,2,0,2,128,0,0.2131,54.88,0.8671,0.0262
2026-01-01,JRN012,mobile_app,paid_search,42,18,1,0,1,64,0,0.1988,55.99,0.8833,0.0471
2026-01-01,JRN012,mobile_app,email,36,15,1,0,1,64,0,0.2232,58.01,0.922,0.0204
2026-01-01,JRN012,mobile_app,direct,48,27,1,0,1,64,0,0.1687,56.79,0.8986,0.0257
2026-01-02,JRN001,desktop,organic_search,762,417,33,3,33,4158,13,0.1731,65.2,0.8837,0.0212
2026-01-02,JRN001,desktop,paid_search,574,320,25,2,25,3150,7,0.1936,67.1,0.8943,0.0385
2026-01-02,JRN001,desktop,email,391,200,21,1,21,2646,4,0.1856,70.94,0.8998,0.0123
2026-01-02,JRN001,desktop,direct,503,290,24,1,24,3024,5,0.1708,68.69,0.9275,0.0093
2026-01-02,JRN001,mobile_web,organic_search,873,404,28,1,28,3528,11,0.3036,70.41,0.8624,0.0205
2026-01-02,JRN001,mobile_web,paid_search,606,338,16,1,16,2016,6,0.2767,65.65,0.8993,0.0216
2026-01-02,JRN001,mobile_web,email,439,209,13,0,13,1638,2,0.3058,69.84,0.8915,0.0137
2026-01-02,JRN001,mobile_web,direct,680,372,29,3,29,3654,6,0.2649,69.84,0.8933,0.0247
2026-01-02,JRN001,mobile_app,organic_search,188,101,9,0,9,1134,2,0.2538,69.53,0.9103,0.0093
2026-01-02,JRN001,mobile_app,paid_search,137,76,5,0,5,630,1,0.1965,64.76,0.8718,0.0309
2026-01-02,JRN001,mobile_app,email,82,49,3,0,3,378,0,0.2091,67.66,0.8947,0.0097
2026-01-02,JRN001,mobile_app,direct,131,62,6,0,6,756,2,0.1677,66.96,0.9041,0.0232
2026-01-02,JRN002,desktop,organic_search,1065,717,135,15,135,13230,42,0.1654,76.07,0.9062,0.0134
2026-01-02,JRN002,desktop,paid_search,838,674,100,6,100,9800,23,0.1555,77.04,0.8572,0.0286
2026-01-02,JRN002,desktop,email,541,383,105,4,105,10290,21,0.1485,73.48,0.9119,0.0159
2026-01-02,JRN002,desktop,direct,808,608,167,11,167,16366,54,0.2076,77.86,0.8759,0.0136
2026-01-02,JRN002,mobile_web,organic_search,1050,799,162,18,162,15876,70,0.2803,75.35,0.9235,0.0183
2026-01-02,JRN002,mobile_web,paid_search,708,557,76,6,76,7448,32,0.2984,77.61,0.8632,0.0253
2026-01-02,JRN002,mobile_web,email,530,382,87,4,87,8526,21,0.2295,80.09,0.926,0.0171
2026-01-02,JRN002,mobile_web,direct,924,625,105,12,105,10290,41,0.2956,74.92,0.9351,0.0124
2026-01-02,JRN002,mobile_app,organic_search,199,136,27,1,27,2646,11,0.1585,79.68,0.9338,0.0081
2026-01-02,JRN002,mobile_app,paid_search,183,127,23,2,23,2254,5,0.2043,72.38,0.9144,0.0281
2026-01-02,JRN002,mobile_app,email,135,96,31,2,31,3038,12,0.2043,74.67,0.8845,0.021
2026-01-02,JRN002,mobile_app,direct,165,132,37,3,37,3626,11,0.1547,75.05,0.9257,0.021
2026-01-02,JRN003,desktop,organic_search,522,273,27,2,27,1998,6,0.1748,61.49,0.8633,0.0211
2026-01-02,JRN003,desktop,paid_search,354,221,20,0,20,1480,5,0.2049,60.89,0.9019,0.0229
2026-01-02,JRN003,desktop,email,253,136,22,1,22,1628,8,0.2329,63.85,0.9167,0.0124
2026-01-02,JRN003,desktop,direct,362,241,28,1,28,2072,8,0.2461,63.52,0.8814,0.0175
2026-01-02,JRN003,mobile_web,organic_search,542,329,37,3,37,2738,9,0.3282,62.97,0.8855,0.0271
2026-01-02,JRN003,mobile_web,paid_search,311,208,18,1,18,1332,7,0.3013,64.19,0.8623,0.0436
2026-01-02,JRN003,mobile_web,email,257,150,17,1,17,1258,3,0.3142,62.8,0.8835,0.0293
2026-01-02,JRN003,mobile_web,direct,401,234,20,0,20,1480,5,0.3011,64.0,0.9168,0.0277
2026-01-02,JRN003,mobile_app,organic_search,110,74,7,0,7,518,1,0.1755,60.15,0.9202,0.0253
2026-01-02,JRN003,mobile_app,paid_search,69,36,4,0,4,296,1,0.1708,62.25,0.8973,0.0268
2026-01-02,JRN003,mobile_app,email,50,27,5,0,5,370,1,0.1697,61.14,0.9242,0.0159
2026-01-02,JRN003,mobile_app,direct,61,34,5,0,5,370,1,0.224,63.8,0.9187,0.0304
2026-01-02,JRN004,desktop,organic_search,322,276,110,7,110,4180,29,0.164,86.47,0.918,0.0041
2026-01-02,JRN004,desktop,paid_search,257,221,109,4,109,4142,43,0.1245,86.38,0.8692,0.019
2026-01-02,JRN004,desktop,email,217,186,115,9,115,4370,43,0.1303,84.47,0.9162,0.009
2026-01-02,JRN004,desktop,direct,230,197,79,6,79,3002,29,0.1274,84.1,0.8798,0.0068
2026-01-02,JRN004,mobile_web,organic_search,448,385,120,13,120,4560,50,0.2421,86.79,0.9442,0.0041
2026-01-02,JRN004,mobile_web,paid_search,296,254,82,7,82,3116,21,0.2736,86.29,0.9315,0.0167
2026-01-02,JRN004,mobile_web,email,206,177,65,3,65,2470,18,0.1841,89.25,0.9284,0.0082
2026-01-02,JRN004,mobile_web,direct,316,271,131,15,131,4978,32,0.2625,86.95,0.9022,0.0055
2026-01-02,JRN004,mobile_app,organic_search,705,606,318,36,318,12084,85,0.1452,85.64,0.8891,0.01
2026-01-02,JRN004,mobile_app,paid_search,474,407,229,10,229,8702,88,0.1302,84.84,0.8958,0.0213
2026-01-02,JRN004,mobile_app,email,384,330,204,10,204,7752,64,0.1325,85.07,0.9114,0.0064
2026-01-02,JRN004,mobile_app,direct,452,388,193,21,193,7334,76,0.1592,88.98,0.8986,0.0039
2026-01-02,JRN005,desktop,organic_search,389,326,105,11,105,2310,22,0.208,68.03,0.9161,0.0261
2026-01-02,JRN005,desktop,paid_search,284,244,63,3,63,1386,14,0.2045,71.45,0.9217,0.0281
2026-01-02,JRN005,desktop,email,204,165,72,7,72,1584,14,0.1836,69.05,0.9195,0.0174
2026-01-02,JRN005,desktop,direct,218,187,70,7,70,1540,27,0.1486,74.69,0.87,0.0106
2026-01-02,JRN005,mobile_web,organic_search,373,320,80,7,80,1760,16,0.2362,68.23,0.9062,0.0233
2026-01-02,JRN005,mobile_web,paid_search,280,236,53,3,53,1166,22,0.2285,74.17,0.9107,0.021
2026-01-02,JRN005,mobile_web,email,175,150,36,3,36,792,14,0.2459,67.63,0.8922,0.026
2026-01-02,JRN005,mobile_web,direct,302,259,86,6,86,1892,37,0.2248,73.56,0.92,0.0226
2026-01-02,JRN005,mobile_app,organic_search,89,74,24,2,24,528,10,0.1734,74.69,0.9088,0.0146
2026-01-02,JRN005,mobile_app,paid_search,51,43,12,0,12,264,4,0.1517,69.15,0.8511,0.0393
2026-01-02,JRN005,mobile_app,email,37,31,12,0,12,264,3,0.1413,72.2,0.9195,0.0085
2026-01-02,JRN005,mobile_app,direct,56,48,19,1,19,418,3,0.2005,68.9,0.9069,0.0188
2026-01-02,JRN006,desktop,organic_search,590,266,19,19,2,3458,0,0.2071,60.85,0.7669,0.0392
2026-01-02,JRN006,desktop,paid_search,408,231,13,13,1,2366,0,0.2637,60.61,0.7523,0.0246
2026-01-02,JRN006,desktop,email,353,203,16,16,1,2912,0,0.2524,57.69,0.7735,0.0214
2026-01-02,JRN006,desktop,direct,479,281,18,18,2,3276,0,0.2277,58.49,0.7887,0.0218
2026-01-02,JRN006,mobile_web,organic_search,627,278,17,17,3,3094,1,0.2693,59.48,0.7901,0.0169
2026-01-02,JRN006,mobile_web,paid_search,497,294,14,14,1,2548,0,0.2895,57.81,0.7671,0.038
2026-01-02,JRN006,mobile_web,email,323,168,9,9,1,1638,0,0.2783,58.12,0.7759,0.0397
2026-01-02,JRN006,mobile_web,direct,445,230,15,15,2,2730,0,0.3062,57.52,0.7388,0.0364
2026-01-02,JRN006,mobile_app,organic_search,152,75,6,6,0,1092,0,0.1801,61.44,0.7239,0.0358
2026-01-02,JRN006,mobile_app,paid_search,101,57,4,4,0,728,0,0.255,61.89,0.7409,0.0243
2026-01-02,JRN006,mobile_app,email,75,44,3,3,0,546,0,0.2656,61.89,0.7437,0.0385
2026-01-02,JRN006,mobile_app,direct,92,44,2,2,0,364,0,0.1676,62.73,0.7871,0.0226
2026-01-02,JRN007,desktop,organic_search,239,116,6,6,0,2760,0,0.2473,52.9,0.8572,0.0385
2026-01-02,JRN007,desktop,paid_search,205,106,4,4,0,1840,0,0.233,48,0.8721,0.046
2026-01-02,JRN007,desktop,email,145,79,4,4,0,1840,0,0.2387,54.02,0.8717,0.0258
2026-01-02,JRN007,desktop,direct,175,97,6,6,1,2760,0,0.2528,52.09,0.8366,0.0466
2026-01-02,JRN007,mobile_web,organic_search,291,131,4,4,0,1840,0,0.3173,50.03,0.8702,0.0214
2026-01-02,JRN007,mobile_web,paid_search,206,113,3,3,0,1380,0,0.3037,53.62,0.8771,0.0308
2026-01-02,JRN007,mobile_web,email,149,63,2,2,0,920,0,0.2644,53.56,0.8689,0.0237
2026-01-02,JRN007,mobile_web,direct,224,119,5,5,0,2300,0,0.3008,48.58,0.8869,0.0285
2026-01-02,JRN007,mobile_app,organic_search,63,31,1,1,0,460,0,0.2246,53.28,0.8899,0.015
2026-01-02,JRN007,mobile_app,paid_search,40,18,1,1,0,460,0,0.2661,51.88,0.8561,0.0289
2026-01-02,JRN007,mobile_app,email,30,14,0,0,0,0,0,0.2082,54.72,0.8724,0.0314
2026-01-02,JRN007,mobile_app,direct,40,22,1,1,0,460,0,0.2537,53.55,0.8742,0.0242
2026-01-02,JRN008,desktop,organic_search,585,340,32,32,4,7808,1,0.2411,59.81,0.8679,0.0181
2026-01-02,JRN008,desktop,paid_search,340,201,18,18,2,4392,0,0.1625,54.14,0.8907,0.0474
2026-01-02,JRN008,desktop,email,247,151,15,15,1,3660,0,0.1659,54.49,0.8852,0.0286
2026-01-02,JRN008,desktop,direct,381,225,24,24,2,5856,0,0.2441,58.99,0.89,0.0313
2026-01-02,JRN008,mobile_web,organic_search,527,256,19,19,2,4636,0,0.2815,60.99,0.9075,0.0169
2026-01-02,JRN008,mobile_web,paid_search,471,287,21,21,2,5124,0,0.2582,57.77,0.8421,0.0484
2026-01-02,JRN008,mobile_web,email,326,200,15,15,2,3660,0,0.2605,60.09,0.9055,0.0235
2026-01-02,JRN008,mobile_web,direct,454,240,24,24,2,5856,0,0.2679,55.94,0.8761,0.0159
2026-01-02,JRN008,mobile_app,organic_search,111,60,5,5,0,1220,0,0.2041,57.97,0.8536,0.0288
2026-01-02,JRN008,mobile_app,paid_search,85,45,3,3,0,732,0,0.2141,53.1,0.9104,0.0371
2026-01-02,JRN008,mobile_app,email,56,29,3,3,0,732,0,0.2053,55.04,0.9148,0.0183
2026-01-02,JRN008,mobile_app,direct,74,37,4,4,0,976,0,0.212,54.19,0.8715,0.0243
2026-01-02,JRN009,desktop,organic_search,330,197,29,2,29,2494,11,0.1966,72.09,0.91,0.0194
2026-01-02,JRN009,desktop,paid_search,232,130,16,0,16,1376,3,0.1686,68.92,0.8933,0.0362
2026-01-02,JRN009,desktop,email,187,121,16,1,16,1376,4,0.2474,73.15,0.9295,0.0179
2026-01-02,JRN009,desktop,direct,231,159,21,2,21,1806,8,0.1589,72.61,0.8794,0.0144
2026-01-02,JRN009,mobile_web,organic_search,319,201,19,1,19,1634,3,0.2745,75.68,0.887,0.0187
2026-01-02,JRN009,mobile_web,paid_search,218,138,11,0,11,946,4,0.3378,69.81,0.8888,0.0307
2026-01-02,JRN009,mobile_web,email,178,122,18,2,18,1548,3,0.3228,72.1,0.8862,0.0148
2026-01-02,JRN009,mobile_web,direct,224,143,16,1,16,1376,3,0.2887,69.91,0.8734,0.0216
2026-01-02,JRN009,mobile_app,organic_search,61,36,6,0,6,516,1,0.1848,75.4,0.8734,0.0107
2026-01-02,JRN009,mobile_app,paid_search,52,32,3,0,3,258,1,0.2349,71.75,0.8743,0.0194
2026-01-02,JRN009,mobile_app,email,37,24,4,0,4,344,0,0.1794,76.71,0.8953,0.0228
2026-01-02,JRN009,mobile_app,direct,43,29,5,0,5,430,1,0.2173,75.53,0.9204,0.022
2026-01-02,JRN010,desktop,organic_search,769,534,142,12,142,2556,26,0.1747,68.87,0.7917,0.0131
